abbr,index,safety
AFG,75.2,24.8
ALB,44.2,55.8
DZA,52.9,47.1
AND,15.2,84.8
AGO,66.3,33.7
ATG,51.1,48.9
ARG,63.3,36.7
ARM,22.4,77.6
AUS,47.4,52.6
AUT,28.3,71.7
AZE,31.8,68.2
BHS,56.9,43.1
BHR,23.8,76.2
BGD,61.5,38.5
BRB,44.9,55.1
BLR,49.1,50.9
BEL,49.5,50.5
BLZ,52.1,47.9
BEN,42,58
BTN,31.19,68.81
BOL,64.6,35.4
BIH,41.2,58.8
BWA,50.9,49.1
BRA,64.2,35.8
BRN,29.4,70.6
BGR,35.9,64.1
BFA,42.89,57.11
BDI,56.56,43.44
KHM,50.2,49.8
CMR,65.5,34.5
CAN,45.8,54.2
CPV,46.08,53.92
CYM,30.6,69.4
CAF,84.11,15.89
TCD,68.96,31.04
CHL,60.5,39.5
CHN,23.5,76.5
COL,61,39
COM,47.06,52.94
COG,52.4,47.6
COK,30.92,69.08
CRI,53.7,46.3
CIV,55.7,44.3
HRV,25.4,74.6
CUB,35.4,64.6
CYP,32.7,67.3
CZE,26.6,73.4
COD,66.2,33.8
DNK,26,74
DJI,53.64,46.36
DMA,53.58,46.42
DOM,60.4,39.6
ECU,62.6,37.4
EGY,46.9,53.1
SLV,56.7,43.3
GNQ,42.12,57.88
ERI,27.14,72.86
EST,23.5,76.5
SWZ,43.55,56.45
ETH,50.4,49.6
FLK,44.36,55.64
FJI,56.9,43.1
FIN,26.5,73.5
FRA,55.6,44.4
GUF,63.13,36.87
GAB,59.6,40.4
GMB,60.71,39.29
GEO,26,74
DEU,39.6,60.4
GHA,45.8,54.2
GRC,46.4,53.6
GRL,40.42,59.58
GRD,22.54,77.46
GTM,57.7,42.3
GIN,60.05,39.95
GNB,52.23,47.77
GUY,66.4,33.6
HTI,81,19
HND,71.9,28.1
HUN,33.7,66.3
ISL,25.8,74.2
IND,44.2,55.8
IDN,46.1,53.9
IRN,50.5,49.5
IRQ,41.9,58.1
IRL,48.6,51.4
ISR,31.7,68.3
ITA,47.2,52.8
JAM,67.4,32.6
JPN,22.7,77.3
JOR,39.8,60.2
KAZ,45.6,54.4
KEN,55.8,44.2
KIR,3.68,96.32
KWT,32.7,67.3
KGZ,52,48
LAO,36.28,63.72
LVA,36.6,63.4
LBN,46.9,53.1
LSO,65.92,34.08
LBR,78.28,21.72
LBY,56.4,43.6
LIE,6.56,93.44
LTU,33,67
LUX,34,66
MDG,62.25,37.75
MWI,56.11,43.89
MYS,48.6,51.4
MDV,54.1,45.9
MLI,47.08,52.92
MLT,43,57
MHL,27.45,72.55
MRT,38.07,61.93
MUS,49.4,50.6
MEX,53.2,46.8
FSM,44.13,55.87
MDA,44.7,55.3
MCO,24.7,75.3
MNG,51.7,48.3
MNE,35,65
MAR,47.5,52.5
MOZ,61,39
MMR,51.6,48.4
NAM,63.6,36.4
NPL,36.1,63.9
NLD,25.8,74.2
NCL,64.17,35.83
NZL,48.5,51.5
NIC,50.8,49.2
NER,65.85,34.15
NGA,66.1,33.9
PRK,39.75,60.25
MKD,41.4,58.6
NOR,32.8,67.2
OMN,18.6,81.4
PAK,42.4,57.6
PLW,22.89,77.11
PSE,43.2,56.8
PAN,42.7,57.3
PNG,80.7,19.3
PRY,60.1,39.9
PER,66.7,33.3
PHL,43.4,56.6
POL,28.7,71.3
PRT,32.4,67.6
PRI,61.3,38.7
QAT,15.4,84.6
ROU,32.6,67.4
RUS,38.4,61.6
RWA,26.4,73.6
KNA,40.02,59.98
LCA,62.48,37.52
VCT,37.78,62.22
WSM,42.06,57.94
SMR,22.35,77.65
STP,18.75,81.25
SAU,23.7,76.3
SEN,49.43,50.57
SRB,37.2,62.8
SYC,37.7,62.3
SLE,60.44,39.56
SGP,22.6,77.4
SVK,31,69
SVN,24.4,75.6
SLB,63.87,36.13
SOM,63.2,36.8
ZAF,74.6,25.4
KOR,26.9,73.1
SSD,80.15,19.85
ESP,37.2,62.8
LKA,42.3,57.7
SDN,45.6,54.4
SUR,52.81,47.19
SWE,48.1,51.9
CHE,26.7,73.3
SYR,68.4,31.6
TUR,41.4,58.6
TWN,17,83
TJK,51.06,48.94
TZA,53.4,46.6
THA,36.8,63.2
TLS,45.74,54.26
TGO,45.16,54.84
TON,60.98,39.02
TTO,71,29
TUN,45,55
TKM,47.32,52.68
TUV,18.48,81.52
UGA,54.1,45.9
UKR,47,53
ARE,14.8,85.2
GBR,48.4,51.6
USA,49.2,50.8
URY,52.3,47.7
UZB,26.6,73.4
VUT,41.65,58.35
VEN,80.5,19.5
VNM,40.4,59.6
ESH,,
YEM,63,37
ZMB,45.6,54.4
ZWE,61.2,38.8
