abbr,index,rank
AFG,,
ALB,104.1,77
DZA,,
AND,,
AGO,,
ATG,,
ARG,122.1,64
ARM,120.2,65
AUS,195.1,11
AUT,197.7,9
AZE,114.4,69
BHS,,
BHR,,
BGD,77,87
BRB,,
BLR,134.8,52
BEL,173.7,26
BLZ,,
BEN,,
BTN,,
BOL,,
BIH,136.8,49
BWA,,
BRA,117.8,68
BRN,,
BGR,148.3,43
BFA,,
BDI,,
KHM,,
CMR,,
CAN,170.5,27
CPV,,
CYM,,
CAF,,
TCD,,
CHL,112.1,72
CHN,127.7,57
COL,106.3,75
COM,,
COG,,
COK,,
CRI,130.2,55
CIV,,
HRV,181.7,20
CUB,,
CYP,160.4,34
CZE,176.3,23
COD,,
DNK,215.1,3
DJI,,
DMA,,
DOM,,
ECU,130.8,54
EGY,83.2,85
SLV,,
GNQ,,
ERI,,
EST,189.8,15
SWZ,,
ETH,,
FLK,,
FJI,,
FIN,208.3,6
FRA,169.5,29
GUF,,
GAB,,
GMB,,
GEO,129.1,56
DEU,195.2,10
GHA,,
GRC,140.4,46
GRL,,
GRD,,
GTM,,
GIN,,
GNB,,
GUY,,
HTI,,
HND,,
HUN,147.1,44
ISL,198,8
IND,124.4,62
IDN,101.6,79
IRN,86.7,84
IRQ,,
IRL,169.6,28
ISR,169.5,30
ITA,154.4,40
JAM,,
JPN,188.8,17
JOR,126.9,60
KAZ,108.2,74
KEN,95.4,82
KIR,,
KWT,167.9,33
KGZ,,
LAO,,
LVA,168.1,32
LBN,102.8,78
LSO,,
LBR,,
LBY,,
LIE,,
LTU,178.8,21
LUX,218.2,1
MDG,,
MWI,,
MYS,136.7,50
MDV,,
MLI,,
MLT,136.1,51
MHL,,
MRT,,
MUS,,
MEX,127.4,58
FSM,,
MDA,,
MCO,,
MNG,,
MNE,,
MAR,114.1,70
MOZ,,
MMR,,
NAM,,
NPL,,
NLD,216.5,2
NCL,,
NZL,194.7,12
NIC,,
NER,,
NGA,15.6,89
PRK,,
MKD,123.5,63
NOR,199.2,7
OMN,215.1,4
PAK,105.7,76
PLW,,
PSE,,
PAN,125.6,61
PNG,,
PRY,,
PER,90.7,83
PHL,98.1,80
POL,157.2,37
PRT,169.1,31
PRI,156.6,39
QAT,189.4,16
ROU,145.1,45
RUS,113.5,71
RWA,,
KNA,,
LCA,,
VCT,,
WSM,,
SMR,,
STP,,
SAU,173.7,25
SEN,,
SRB,127.2,59
SYC,,
SLE,,
SGP,156.7,38
SVK,159.4,36
SVN,182.4,19
SLB,,
SOM,,
ZAF,153.8,41
KOR,153.5,42
SSD,,
ESP,187.2,18
LKA,82.8,86
SDN,,
SUR,,
SWE,192.2,13
CHE,210.9,5
SYR,,
TUR,134,53
TWN,160.2,35
TJK,,
TZA,,
THA,110.2,73
TLS,,
TGO,,
TON,,
TTO,,
TUN,119,66
TKM,,
TUV,,
UGA,,
UKR,117.8,67
ARE,174.2,24
GBR,177.2,22
USA,192.1,14
URY,137.2,48
UZB,,
VUT,,
VEN,73.7,88
VNM,96.6,81
ESH,,
YEM,,
ZMB,,
ZWE,,
